77.2,-39.1,0.000000000000000000e+00,1.000000000000000000e+00
80.0,-40.0,2.200000000000000000e+01,1.000000000000000000e+00
81.4,-40.2,4.200000000000000000e+01,1.000000000000000000e+00
82.7,-40.300000000000004,7.000000000000000000e+01,1.000000000000000000e+00
83.0,-40.300000000000004,9.300000000000000000e+01,1.000000000000000000e+00
82.5,-40.300000000000004,1.510000000000000000e+02,1.000000000000000000e+00
81.30000000000001,-40.300000000000004,1.800000000000000000e+02,1.000000000000000000e+00
78.9,-41.5,2.150000000000000000e+02,1.000000000000000000e+00
78.10000000000001,-42.0,2.280000000000000000e+02,1.000000000000000000e+00
76.4,-43.0,2.430000000000000000e+02,1.000000000000000000e+00
74.4,-44.400000000000006,2.610000000000000000e+02,1.000000000000000000e+00
72.2,-46.0,2.760000000000000000e+02,1.000000000000000000e+00
69.8,-47.5,2.920000000000000000e+02,1.000000000000000000e+00
67.3,-49.0,3.040000000000000000e+02,1.000000000000000000e+00
64.7,-50.6,3.210000000000000000e+02,1.000000000000000000e+00
61.7,-52.6,3.470000000000000000e+02,1.000000000000000000e+00
58.400000000000006,-54.400000000000006,3.610000000000000000e+02,1.000000000000000000e+00
54.7,-56.300000000000004,3.730000000000000000e+02,1.000000000000000000e+00
50.7,-58.2,3.860000000000000000e+02,1.000000000000000000e+00
41.800000000000004,-60.6,4.200000000000000000e+02,1.000000000000000000e+00
38.5,-61.0,4.440000000000000000e+02,1.000000000000000000e+00
36.800000000000004,-61.300000000000004,4.610000000000000000e+02,1.000000000000000000e+00
35.9,-61.5,4.760000000000000000e+02,1.000000000000000000e+00
35.6,-61.5,4.890000000000000000e+02,1.000000000000000000e+00
35.6,-61.6,5.190000000000000000e+02,1.000000000000000000e+00
35.800000000000004,-61.6,5.320000000000000000e+02,1.000000000000000000e+00
80.30000000000001,-24.6,2.022000000000000000e+03,2.000000000000000000e+00
78.60000000000001,-25.0,2.054000000000000000e+03,2.000000000000000000e+00
85.10000000000001,-21.900000000000002,9.980000000000000000e+02,3.000000000000000000e+00
86.10000000000001,-22.400000000000002,1.021000000000000000e+03,3.000000000000000000e+00
86.30000000000001,-22.700000000000003,1.036000000000000000e+03,3.000000000000000000e+00
